symbol,date,score,score_bucket,trend_score,trend_bucket,momentum_score,momentum_bucket,volume_score,volume_bucket,risk_score,risk_bucket,sr_score,sr_bucket,formation_score,formation_bucket,dist_ema9,dist_ema21,dist_ema50,dist_ema200,overextension_ema50,overextension_ema200,ema50_distance_bucket,ema200_distance_bucket,entry_price,stop_price,potential_pct,stop_distance_pct,rr_ratio,return_5d,benchmark_5d,relative_5d,return_10d,benchmark_10d,relative_10d,return_20d,benchmark_20d,relative_20d,target_3_outcome,target_3_pnl,target_5_outcome,target_5_pnl,target_8_outcome,target_8_pnl
KCAER,2025-03-07,58,<70,3,Düşük,19,Orta,14,Yüksek,10,Orta,12,Orta,0,Düşük,4.177938966897352,1.2950418619843662,-7.641021480916939,-24.57772632404244,7.641021480916939,24.57772632404244,5-10%,15%+,10.899999618530273,10.271181822152103,7.0642246303811955,5.768970810871995,1.224520778830812,7.247706325695715,4.014501796373858,3.233204529321857,1.2844068644254794,-13.21794400530793,14.502350869733409,10.825691252041432,-9.06814845451318,19.893839706554612,TARGET,3.0,TARGET,5.0,TARGET,8.0
KCAER,2025-03-14,58,<70,14,Orta,14,Orta,20,Yüksek,10,Orta,0,Düşük,0,Düşük,6.538066496293675,7.102535038960409,0.06349021650863719,-18.19482082864058,0.06349021650863719,18.19482082864058,<2%,15%+,11.6899995803833,11.011711813422723,0.3421724832236118,5.802290772523172,0.05897196411527226,-5.560304891892569,-16.73249247715726,11.17218758526469,7.2711754660461345,-11.071520724566408,18.342696190612543,2.82293318413918,-13.517642605856983,16.340575789996162,TARGET,3.0,TARGET,5.0,TARGET,8.0
KCAER,2025-03-21,50,<70,11,Orta,17,Orta,0,Düşük,5,Düşük,10,Orta,7,Orta,-5.175667704061408,-2.762524909956666,-6.131250357947375,-22.171942630556227,6.131250357947375,22.171942630556227,5-10%,15%+,11.039999961853027,9.888438374044894,21.739127054556995,10.430811519811346,2.084126150038053,13.586956568686709,3.8722884729001135,9.714668095786596,9.42028954208861,1.9108674891463304,7.509422052942281,17.028986602689862,0.13655954380459256,16.892427058885268,TARGET,3.0,TARGET,5.0,TARGET,8.0
KCAER,2025-03-28,62,<70,14,Orta,30,Yüksek,5,Düşük,5,Düşük,8,Orta,0,Düşük,4.197290960328341,7.536334414769545,6.0087472611787165,-10.965690071086943,6.0087472611787165,10.965690071086943,5-10%,10-15%,12.539999961853027,11.23295260353851,7.177030472632323,10.42302521762827,0.6885746050478649,-3.668261878359677,-0.4851280150789711,-3.1831338632807062,-4.146726520504036,-1.3598227784056351,-2.7869037420984,-1.9138737786941706,-4.671693879085003,2.7578201003908327,TARGET,3.0,TARGET,5.0,TARGET,8.0
KCAER,2025-04-08,59,<70,14,Orta,20,Orta,0,Düşük,5,Düşük,10,Orta,10,Orta,-0.8880917732822312,1.4784168233115274,1.358875729534499,-13.707092506787482,1.358875729534499,13.707092506787482,<2%,10-15%,12.079999923706055,10.81488005676829,11.258275374723747,10.472846646754244,1.0749966799344783,-0.4966843238520106,1.275400837555927,-1.7720851614079376,6.953643691168045,0.39458368147269685,6.559060009695348,8.360929099840387,0.03989213856395882,8.321036961276429,TARGET,3.0,TARGET,5.0,TARGET,8.0
KCAER,2025-04-15,36,<70,11,Orta,10,Düşük,0,Düşük,5,Düşük,10,Orta,0,Düşük,-0.10031749935835223,0.8639174813465085,0.836858711260543,-13.510972119269852,0.836858711260543,13.510972119269852,<2%,10-15%,12.020000457763672,10.871747391901424,11.813636177546542,9.552853761503773,1.236660423417482,7.487517339893005,0.49643325605370553,6.991084083839299,2.3294486048903655,-2.025655093973896,4.355103698864262,21.3810282608123,2.969968022295654,18.411060238516647,TARGET,3.0,TARGET,5.0,TARGET,8.0
KCAER,2025-04-22,64,<70,22,Yüksek,17,Orta,5,Düşük,5,Düşük,5,Düşük,10,Orta,3.136998370640285,5.7607620164617925,7.153015663228627,-6.630000300124688,7.153015663228627,6.630000300124688,5-10%,5-10%,12.920000076293945,11.764213395949426,3.9473701692742376,8.945717287302466,0.4412580950749614,-4.7987606958043205,-4.346268352025511,-0.4524923437788093,1.3157900564247458,-2.230559658192335,3.5463497146170804,6.191951904108196,-1.421365571998343,7.6133174761065385,TARGET,3.0,TARGET,5.0,TARGET,8.0
KCAER,2025-04-30,60,<70,22,Yüksek,7,Düşük,12,Orta,5,Düşük,14,Yüksek,0,Düşük,-4.12555218175954,-1.9041817005780564,0.4277234855214674,-10.887486808800348,0.4277234855214674,10.887486808800348,<2%,10-15%,12.300000190734863,10.968793783966847,14.065036710645526,10.822816147358804,1.2995727284970975,6.422763817907135,1.217337042330848,5.205426775576287,18.61788558001812,4.076314534181287,14.541571045836836,8.536586784167612,-1.6143811499866527,10.150967934154265,TARGET,3.0,TARGET,5.0,TARGET,8.0
KCAER,2025-05-08,55,<70,22,Yüksek,20,Orta,0,Düşük,5,Düşük,8,Orta,0,Düşük,1.5064795430544606,3.285416917295203,5.887983894634924,-4.85067406562972,5.887983894634924,4.85067406562972,5-10%,2-5%,13.09000015258789,11.832146305664518,7.1810509505415325,9.609272973726403,0.7473042934856678,11.459128972610824,1.6058762013471062,9.853252771263717,4.812835042758705,-0.36739257760502636,5.180227620363731,3.8197096575369414,2.8624653073585007,0.9572443501784407,TARGET,3.0,TARGET,5.0,TARGET,8.0
KCAER,2025-05-15,66,<70,22,Yüksek,13,Orta,14,Yüksek,5,Düşük,2,Düşük,10,Orta,5.708224559650377,10.127326462178516,14.980937895355725,5.904289452336978,14.980937895355725,5.904289452336978,10-15%,5-10%,14.59000015258789,13.3359926198033,2.467441075477929,8.594979572787478,0.2870793414437053,-5.962987501441297,-3.2311486699280696,-2.731838831513228,-8.498970240916824,-6.710528681446748,-1.7884415594700762,-11.994516666880193,-3.400777460238644,-8.59373920664155,STOP,-8.594979572787478,STOP,-8.594979572787478,STOP,-8.594979572787478
