symbol,date,score,score_bucket,trend_score,trend_bucket,momentum_score,momentum_bucket,volume_score,volume_bucket,risk_score,risk_bucket,sr_score,sr_bucket,formation_score,formation_bucket,entry_price,stop_price,potential_pct,stop_distance_pct,rr_ratio,return_5d,return_10d,return_20d,target_3_outcome,target_3_pnl,target_5_outcome,target_5_pnl,target_8_outcome,target_8_pnl
GARAN,2025-01-20,73,70-79,30,Yüksek,17,Orta,5,Düşük,10,Orta,4,Düşük,7,Orta,134.0,126.36677302503432,1.3432858595207555,5.696438041019165,0.23581154571470153,-0.14925145391208022,-7.0149265118499295,-4.477611940298507,TARGET,3.0,STOP,-5.696438041019165,STOP,-5.696438041019165
GARAN,2025-01-27,91,90-99,30,Yüksek,30,Yüksek,5,Düşük,10,Orta,9,Orta,7,Orta,133.8000030517578,126.04482285034909,4.0358697857394645,5.796098673038734,0.69630798462987,-6.875937494618654,-4.633785079390748,-6.352765176479068,STOP,-5.796098673038734,STOP,-5.796098673038734,STOP,-5.796098673038734
GARAN,2025-02-03,70,70-79,24,Yüksek,0,Düşük,12,Orta,10,Orta,17,Yüksek,7,Orta,124.5999984741211,116.303355517104,11.717494906032003,6.658622037415415,1.7597477135945414,2.4077046843809455,2.728733200253668,10.353131367459994,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-02-10,60,<70,19,Orta,7,Düşük,0,Düşük,10,Orta,17,Yüksek,7,Orta,127.5999984741211,119.75023778701521,9.09090800379102,6.151850141830461,1.4777518623179682,0.31348082340301253,-1.8025042710558885,9.79624434080984,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-02-17,53,<70,22,Yüksek,7,Düşük,0,Düşük,10,Orta,14,Yüksek,0,Düşük,128.0,121.35727485310564,8.749997615814209,5.189629021011221,1.6860545484827805,-2.109372615814209,7.421875,11.406254768371582,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-02-24,50,<70,16,Orta,0,Düşük,0,Düşük,10,Orta,17,Yüksek,7,Orta,125.30000305175781,118.18406914236772,9.417400450408268,5.679117107803028,1.6582507935025483,9.736629410298354,11.811654182996595,-11.572226374176918,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-03-03,85,80-89,30,Yüksek,23,Yüksek,20,Yüksek,10,Orta,2,Düşük,0,Düşük,137.5,129.18960870638162,2.5454545454545454,6.043920940813368,0.42115947087686223,1.8909135298295454,3.7090953480113638,-14.83636474609375,TARGET,3.0,TARGET,5.0,STOP,-6.043920940813368
GARAN,2025-03-10,55,<70,30,Yüksek,13,Orta,0,Düşük,10,Orta,2,Düşük,0,Düşük,140.10000610351562,131.61874515721578,1.7844396081987506,6.053719184018661,0.2947674898613616,1.7844396081987506,-20.913634386360364,-24.482513602757866,TARGET,3.0,STOP,-6.053719184018661,STOP,-6.053719184018661
GARAN,2025-03-17,66,<70,30,Yüksek,17,Orta,0,Düşük,10,Orta,2,Düşük,7,Orta,142.60000610351562,134.2226188409504,2.1037867262237366,5.874745374473516,0.35810687819168235,-22.300141438054133,-17.882192523108074,-26.016833461131927,STOP,-5.874745374473516,STOP,-5.874745374473516,STOP,-5.874745374473516
GARAN,2025-03-24,52,<70,8,Düşük,10,Düşük,12,Orta,5,Düşük,17,Yüksek,0,Düşük,110.80000305175781,98.76490561167657,31.407944127494066,10.862001000540868,2.8915431075664717,5.685916289569392,-4.512635254770127,-5.5054205194075125,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-04-02,32,<70,8,Düşük,0,Düşük,5,Düşük,5,Düşük,14,Yüksek,0,Düşük,117.0999984741211,105.52517457896006,24.33817933455651,9.884563660108885,2.4622411440150924,-9.649868120929618,-9.90606201987669,-11.784795561216901,STOP,-9.884563660108885,STOP,-9.884563660108885,STOP,-9.884563660108885
GARAN,2025-04-09,33,<70,8,Düşük,0,Düşük,0,Düşük,5,Düşük,20,Yüksek,0,Düşük,105.80000305175781,94.81489676903959,37.61814924739414,10.382897888333954,3.6230876631909528,-0.2835567515163962,-1.0397032814616247,-4.34783173046345,TARGET,3.0,TARGET,5.0,TIMEOUT,-4.34783173046345
GARAN,2025-04-16,45,<70,8,Düşük,0,Düşük,5,Düşük,5,Düşük,20,Yüksek,7,Orta,105.5,95.58207387045726,35.26066061444757,9.400877847907806,3.7507838294372626,-0.7582967315239929,-2.085305164210604,7.3933678215713865,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-04-24,57,<70,8,Düşük,17,Orta,10,Orta,5,Düşük,17,Yüksek,0,Düşük,104.69999694824219,95.37192448570069,18.14708744393998,8.909334034797322,2.0368623932005048,-1.337147982130748,-3.342884529146838,6.781285874368717,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-05-02,52,<70,8,Düşük,17,Orta,0,Düşük,10,Orta,17,Yüksek,0,Düşük,103.30000305175781,95.27306173186437,15.29525165110285,7.770514116898516,1.9683706149944837,-2.0329196916513452,9.680541824369127,4.356243820966108,TARGET,3.0,TARGET,5.0,TARGET,8.0
GARAN,2025-05-09,61,<70,0,Düşük,17,Orta,14,Yüksek,10,Orta,20,Yüksek,0,Düşük,101.19999694824219,93.99527948718904,9.782610498439217,7.119286243395775,1.3740998976567464,11.956528130829946,10.47431464739757,19.66403372132173,TARGET,3.0,TARGET,5.0,TARGET,8.0
