symbol,date,score,max,bucket,entry_price,stop_price,target_3_outcome,target_3_pnl,target_3_day,target_5_outcome,target_5_pnl,target_5_day,target_8_outcome,target_8_pnl,target_8_day
AGHOL,2025-02-28,49,140,<70,30.875,28.938462026010484,TARGET,3.0,2.0,TARGET,5.0,3.0,TARGET,8.0,9.0
AGHOL,2025-03-07,65,140,<70,31.75,29.728022447629545,TARGET,3.0,4.0,TARGET,5.0,4.0,TARGET,8.0,5.0
AGHOL,2025-03-14,62,140,<70,34.150001525878906,31.993058468154455,STOP,-6.316084806291787,3.0,STOP,-6.316084806291787,3.0,STOP,-6.316084806291787,3.0
AGHOL,2025-03-21,30,140,<70,27.674999237060547,24.961260390979906,TARGET,3.0,1.0,TARGET,5.0,2.0,TARGET,8.0,2.0
AGHOL,2025-03-28,19,140,<70,29.524999618530273,26.749945838970643,TIMEOUT,-7.53598784154865,,TIMEOUT,-7.53598784154865,,TIMEOUT,-7.53598784154865,
AGHOL,2025-04-08,32,140,<70,28.600000381469727,26.20647129367784,STOP,-8.368982712820808,20.0,STOP,-8.368982712820808,20.0,STOP,-8.368982712820808,20.0
AGHOL,2025-04-15,34,140,<70,28.100000381469727,26.058945332564882,STOP,-7.263541000699767,15.0,STOP,-7.263541000699767,15.0,STOP,-7.263541000699767,15.0
AGHOL,2025-04-22,51,140,<70,28.024999618530273,26.13319492623333,STOP,-6.750418262436203,10.0,STOP,-6.750418262436203,10.0,STOP,-6.750418262436203,10.0
AGHOL,2025-04-30,49,140,<70,27.299999237060547,25.565617669055246,TARGET,3.0,7.0,TARGET,5.0,7.0,TARGET,8.0,7.0
AGHOL,2025-05-08,42,140,<70,26.875,25.229677610193797,TARGET,3.0,1.0,TARGET,5.0,2.0,TARGET,8.0,2.0
AGHOL,2025-05-15,52,140,<70,29.200000762939453,27.220445528277555,STOP,-6.779298571712173,5.0,STOP,-6.779298571712173,5.0,STOP,-6.779298571712173,5.0
AGHOL,2025-05-23,27,140,<70,26.924999237060547,24.910749628810965,STOP,-7.48096440232056,6.0,STOP,-7.48096440232056,6.0,STOP,-7.48096440232056,6.0
